customerNumber (CIF),dateOfBirth,branchNumber,citizenshipCode,currCountryCode,employmentStatus,incomeInThousands,marketSegment,maritalStatus,stateCode,City,customerOpeningDate,Gender
87479734,11/11/1992,784,US,USD,employed,1048156,psychographic,separated,AZ,Tucson,05/22/2021,Female
41866054,25/11/1989,486,US,USD,salaried,1016275,geographic,single,AZ,Phoenix,01/01/2015,Male
37548613,04/02/1993,976,US,USD,self-employed,1518241,demographic,separated,FL,Jacksonville,03/17/2019,Male
89868246,09/12/2000,216,US,USD,self-employed,1281359,geographic,separated,FL,Tampa,08/15/2017,Female
90335209,06/02/1995,294,US,USD,self-employed,1733624,Standard,single,PA,Pittsburgh,11/29/2017,Male
93170105,26/03/1998,149,US,USD,self-employed,1458426,behavioral,separated,IA,Davenport,04/13/2020,Female
87874884,29/01/1990,331,US,USD,salaried,548836,demographic,single,NC,Raleigh,01/05/2020,Female
59129867,28/07/2001,220,US,USD,employed,1129875,behavioral,separated,DE,Wilmington,07/21/2016,Female
19583078,25/09/2002,101,US,USD,unemployed,1288855,psychographic,married,IN,Indianapolis,11/16/2016,Male
45786874,12/05/1994,613,US,USD,unemployed,540996,Standard,married,CA,Glendale,01/28/2017,Male
67351924,18/12/1994,916,US,USD,employed,826367,psychographic,separated,TX,Houston,09/19/2018,Genderqueer
28605053,18/10/2001,708,US,USD,employed,1429466,Standard,single,CA,Sacramento,04/26/2017,Female
92216322,05/11/1993,828,US,USD,salaried,637014,behavioral,married,WA,Olympia,12/30/2020,Male
72185363,08/07/1997,247,US,USD,unemployed,678043,demographic,single,LA,New Orleans,05/18/2021,Male
92953047,01/02/2002,958,US,USD,self-employed,1562119,behavioral,married,MN,Saint Cloud,06/19/2017,Female
53583374,27/08/2000,566,US,USD,unemployed,825279,behavioral,separated,TX,Houston,07/28/2021,Male
76130618,26/07/2003,12,US,USD,employed,1005962,psychographic,single,SD,Sioux Falls,10/05/2018,Female
72129580,01/12/1990,182,US,USD,salaried,1515561,psychographic,separated,TX,San Antonio,04/16/2019,Female
54291684,24/01/2004,187,US,USD,unemployed,1315669,psychographic,single,GA,Augusta,02/27/2016,Male
33653395,25/09/1990,438,US,USD,self-employed,1707823,geographic,married,CA,Burbank,06/30/2017,Female
39291825,05/03/1991,465,US,USD,unemployed,874159,psychographic,single,CO,Boulder,06/28/2020,Female
